LSOA11CD,LSOA11NM,LSOA21CD,LSOA21NM,CHGIND,LAD22CD,LAD22NM,LAD22NMW,ObjectId
E01006720,Liverpool 035A,E01034401,Liverpool 035G,M,E08000012,Liverpool,,17943
E01006752,Liverpool 035F,E01034401,Liverpool 035G,M,E08000012,Liverpool,,17959
E01033749,Liverpool 042F,E01034404,Liverpool 042H,M,E08000012,Liverpool,,17917
E01033766,Liverpool 042G,E01034404,Liverpool 042H,M,E08000012,Liverpool,,17921
E01033753,Liverpool 062C,E01034409,Liverpool 062E,M,E08000012,Liverpool,,18325
E01033755,Liverpool 062D,E01034409,Liverpool 062E,M,E08000012,Liverpool,,18332
E01033759,Liverpool 010F,E01034396,Liverpool 010G,S,E08000012,Liverpool,,17888
E01033759,Liverpool 010F,E01034397,Liverpool 010H,S,E08000012,Liverpool,,17892
E01033764,Liverpool 022E,E01034398,Liverpool 022F,S,E08000012,Liverpool,,17780
E01033764,Liverpool 022E,E01034399,Liverpool 022G,S,E08000012,Liverpool,,17781
E01033764,Liverpool 022E,E01034400,Liverpool 022H,S,E08000012,Liverpool,,17782
E01006515,Liverpool 037B,E01034403,Liverpool 037H,S,E08000012,Liverpool,,17668
E01006515,Liverpool 037B,E01034402,Liverpool 037G,S,E08000012,Liverpool,,17987
E01006513,Liverpool 060A,E01034405,Liverpool 060F,S,E08000012,Liverpool,,18172
E01006513,Liverpool 060A,E01034406,Liverpool 060G,S,E08000012,Liverpool,,18179
E01033754,Liverpool 061B,E01034407,Liverpool 061E,S,E08000012,Liverpool,,18214
E01033754,Liverpool 061B,E01034408,Liverpool 061F,S,E08000012,Liverpool,,18221
E01033752,Liverpool 062B,E01034410,Liverpool 062F,S,E08000012,Liverpool,,18320
E01033752,Liverpool 062B,E01034411,Liverpool 062G,S,E08000012,Liverpool,,18322
E01006651,Liverpool 001A,E01006651,Liverpool 001A,U,E08000012,Liverpool,,17746
E01006653,Liverpool 001B,E01006653,Liverpool 001B,U,E08000012,Liverpool,,17752
E01006655,Liverpool 001C,E01006655,Liverpool 001C,U,E08000012,Liverpool,,17800
E01006658,Liverpool 001D,E01006658,Liverpool 001D,U,E08000012,Liverpool,,17804
E01006660,Liverpool 001E,E01006660,Liverpool 001E,U,E08000012,Liverpool,,17808
E01006652,Liverpool 002A,E01006652,Liverpool 002A,U,E08000012,Liverpool,,17814
E01006656,Liverpool 002B,E01006656,Liverpool 002B,U,E08000012,Liverpool,,17819
E01006657,Liverpool 002C,E01006657,Liverpool 002C,U,E08000012,Liverpool,,17824
E01006780,Liverpool 002D,E01006780,Liverpool 002D,U,E08000012,Liverpool,,17829
E01006783,Liverpool 002E,E01006783,Liverpool 002E,U,E08000012,Liverpool,,17834
E01006781,Liverpool 003A,E01006781,Liverpool 003A,U,E08000012,Liverpool,,17839
E01006782,Liverpool 003B,E01006782,Liverpool 003B,U,E08000012,Liverpool,,17844
E01006784,Liverpool 003C,E01006784,Liverpool 003C,U,E08000012,Liverpool,,17849
E01006785,Liverpool 003D,E01006785,Liverpool 003D,U,E08000012,Liverpool,,17850
E01006786,Liverpool 003E,E01006786,Liverpool 003E,U,E08000012,Liverpool,,17851
E01006661,Liverpool 004A,E01006661,Liverpool 004A,U,E08000012,Liverpool,,17852
E01006662,Liverpool 004B,E01006662,Liverpool 004B,U,E08000012,Liverpool,,17853
E01006663,Liverpool 004C,E01006663,Liverpool 004C,U,E08000012,Liverpool,,17854
E01006664,Liverpool 004D,E01006664,Liverpool 004D,U,E08000012,Liverpool,,17855
E01006669,Liverpool 004E,E01006669,Liverpool 004E,U,E08000012,Liverpool,,17856
E01006654,Liverpool 005A,E01006654,Liverpool 005A,U,E08000012,Liverpool,,17857
E01006659,Liverpool 005B,E01006659,Liverpool 005B,U,E08000012,Liverpool,,17858
E01006734,Liverpool 005C,E01006734,Liverpool 005C,U,E08000012,Liverpool,,17859
