Local authority code,Local authority name,LSOA code,LSOA name,Year ending Dec 1995,Year ending Mar 1996,Year ending Jun 1996,Year ending Sep 1996,Year ending Dec 1996,Year ending Mar 1997,Year ending Jun 1997,Year ending Sep 1997,Year ending Dec 1997,Year ending Mar 1998,Year ending Jun 1998,Year ending Sep 1998,Year ending Dec 1998,Year ending Mar 1999,Year ending Jun 1999,Year ending Sep 1999,Year ending Dec 1999,Year ending Mar 2000,Year ending Jun 2000,Year ending Sep 2000,Year ending Dec 2000,Year ending Mar 2001,Year ending Jun 2001,Year ending Sep 2001,Year ending Dec 2001,Year ending Mar 2002,Year ending Jun 2002,Year ending Sep 2002,Year ending Dec 2002,Year ending Mar 2003,Year ending Jun 2003,Year ending Sep 2003,Year ending Dec 2003,Year ending Mar 2004,Year ending Jun 2004,Year ending Sep 2004,Year ending Dec 2004,Year ending Mar 2005,Year ending Jun 2005,Year ending Sep 2005,Year ending Dec 2005,Year ending Mar 2006,Year ending Jun 2006,Year ending Sep 2006,Year ending Dec 2006,Year ending Mar 2007,Year ending Jun 2007,Year ending Sep 2007,Year ending Dec 2007,Year ending Mar 2008,Year ending Jun 2008,Year ending Sep 2008,Year ending Dec 2008,Year ending Mar 2009,Year ending Jun 2009,Year ending Sep 2009,Year ending Dec 2009,Year ending Mar 2010,Year ending Jun 2010,Year ending Sep 2010,Year ending Dec 2010,Year ending Mar 2011,Year ending Jun 2011,Year ending Sep 2011,Year ending Dec 2011,Year ending Mar 2012,Year ending Jun 2012,Year ending Sep 2012,Year ending Dec 2012,Year ending Mar 2013,Year ending Jun 2013,Year ending Sep 2013,Year ending Dec 2013,Year ending Mar 2014,Year ending Jun 2014,Year ending Sep 2014,Year ending Dec 2014,Year ending Mar 2015,Year ending Jun 2015,Year ending Sep 2015,Year ending Dec 2015,Year ending Mar 2016,Year ending Jun 2016,Year ending Sep 2016,Year ending Dec 2016,Year ending Mar 2017,Year ending Jun 2017,Year ending Sep 2017,Year ending Dec 2017,Year ending Mar 2018,Year ending Jun 2018,Year ending Sep 2018,Year ending Dec 2018,Year ending Mar 2019,Year ending Jun 2019,Year ending Sep 2019,Year ending Dec 2019,Year ending Mar 2020,Year ending Jun 2020,Year ending Sep 2020,Year ending Dec 2020,Year ending Mar 2021,Year ending Jun 2021,Year ending Sep 2021,Year ending Dec 2021,Year ending Mar 2022,Year ending Jun 2022,Year ending Sep 2022,Year ending Dec 2022
E08000012,Liverpool,E01006512,Liverpool 031A,"43,139","47,100","32,532","33,814","33,376","33,352","34,162","37,941","38,313","39,439","39,470","37,981","37,018","37,215","37,678","38,261","42,039","41,227","39,858","40,000","38,031","37,453","39,305","37,583","38,444","40,353","38,547","40,712","44,362","46,527","51,171","71,491","86,506","93,355","98,117","105,323","110,073","110,495","105,251","98,960","103,608","111,664","113,767","112,625","112,229","108,631","104,226","103,510","103,094","103,409","102,778","102,969","100,900","99,438",:,:,"122,800","119,000","101,444","100,121","89,768","91,150","96,905","99,143","98,438","91,857","93,250","87,545","80,650","89,227","85,875","85,292","87,115","79,385","86,464","87,194","82,775","81,837","81,781","84,318","88,876","88,998","92,629","91,588","90,792","96,070","88,634","88,329","94,592","93,113","99,263","98,826","98,376","100,985","101,412","108,846","112,332","109,841","109,950","114,778","122,308","123,300","122,967","116,088","115,075","122,158","119,826","119,900","120,385"
E08000012,Liverpool,E01006513,Liverpool 060A,"36,200",:,"84,240",:,"114,867","81,500","75,167","73,400","53,813","53,813","65,594","71,143","72,357","68,313","75,208",:,:,:,"101,500","97,100","90,020","203,620","205,922","222,467","174,072","101,216","97,921","106,113","104,006","141,102","124,602","125,094","131,026","131,556","131,970","131,646","139,365","140,411","147,387","162,026","149,039","138,868","148,286","152,227","157,652","161,223","171,603","178,308","205,789","213,705","213,633","219,129","197,549","200,221","203,646","210,416","208,761","210,635","193,492","164,001","176,656","155,594","156,273","172,286","237,125","276,321","273,167","259,942","197,759","161,608","157,992","145,831","139,923","130,367","121,441","92,818","220,464","261,239","289,698","293,319","188,917","170,286","174,066","186,085","190,724","177,836","150,512","132,376","135,376","149,808","168,087","168,483","177,283","167,824","145,324","145,503","147,470","152,282","175,350","180,571","160,790","214,822","235,233","218,291","220,832","193,900","176,141","217,128","209,664"
E08000012,Liverpool,E01006514,Liverpool 037A,"47,333","39,833","29,667","40,440","38,054","40,747","40,573","38,596","48,033","51,080","56,833","62,963","63,881","68,607","63,417","70,215","74,513","70,342","68,452","69,248","57,523","63,742","79,440","98,131","116,931","117,363","114,934","94,855","102,775","110,355","113,563","135,050","130,950","131,409","160,139","150,193","196,317","192,106","175,185","247,408","279,915","269,885","284,404","266,181",:,:,"275,606","246,082","226,403","217,308","192,026","175,329","148,249","169,428","186,800","200,800","225,800",:,"144,400","150,917","143,300","143,250","147,993","148,806","147,207","147,908",:,:,:,:,"298,571","298,571","261,900",:,:,"140,233","216,667","219,286","352,900","457,909","428,941","455,348","443,632","426,000","445,663","429,619","401,900","364,438","346,183","329,827","366,000","405,500","424,773","400,625","370,450","301,396","256,393","239,300","242,825","271,881",:,"427,255","355,398","336,346","336,346","333,458","543,875","703,000","625,714"
E08000012,Liverpool,E01006515,Liverpool 037B,"35,381","36,111","37,234","38,129","39,427","40,329",:,"44,800","34,875","34,875","30,939","30,939","29,408","29,493","29,429","31,689","35,570","38,165","40,815","43,745","46,322","56,550","56,673","53,286","54,761","53,688","53,646","60,879","66,475","82,437","81,444","85,037","103,260","107,422","117,150","120,776","117,895","117,895","117,667","112,250","113,429","113,222","114,146","107,569","111,868","114,041","111,063","110,824","104,267","100,338","99,321","91,643",:,:,:,:,:,:,:,:,:,:,:,:,:,"84,417",:,:,:,:,:,:,:,"74,467","74,595","68,086","74,228","76,517","73,235","80,654","76,748","81,326","104,114","70,296","70,706","66,366","67,026","65,770","65,963","81,794","117,819","117,065","115,606","116,865","113,027","86,717","81,237","80,705","79,721","80,222","112,125","114,425","114,371","132,708","135,840","136,922","139,232","139,534","143,324"
E08000012,Liverpool,E01006518,Liverpool 044A,"27,388","25,517","23,500","24,681","24,384","24,130","22,204","22,509","24,536","25,471","32,223","33,442","30,500","31,092","31,397","30,123","32,398","31,685","30,871","30,174","27,965","26,940","25,150","28,250","27,603","29,275","31,457","29,952","30,990","30,332","29,428","32,077","35,364","38,765","43,373","57,420","63,698","64,425","72,999","63,625","68,893","74,167","68,550","73,267","74,824","75,412","81,016","87,728","86,045","87,918","87,982","77,717","79,156",:,:,"58,400","62,042","64,969","72,107","73,536","70,300",:,"85,690","78,890","78,890","77,408","72,000",:,"77,390","70,325","60,825","68,279","61,000","63,125","65,850","55,190",:,"78,883","82,892","79,669","80,354","76,875","72,481","77,150","75,401","71,558","73,654","70,698","72,759","78,185","79,115","81,462","78,208","76,000","75,350","72,250","79,313","84,500","94,313","94,643","106,500","95,417",:,"98,250","97,875","107,575","113,099","117,313","116,337"
E08000012,Liverpool,E01006519,Liverpool 056A,"63,817","64,480","65,264","63,533","65,148","64,613","63,441","63,768","65,869","66,438","68,720","71,689","73,470","69,910","72,661","71,726","74,862","76,695","86,916","98,424","99,509","99,326","94,311","94,165","96,217","106,393","111,532","135,544","148,574","160,391","166,215","168,371","173,313","173,248","185,285","192,254","194,108","196,070","190,170","192,867","201,857","197,158","211,618","215,567","217,067","228,037","224,768","242,087","251,915","262,069","265,972","257,571","253,745","265,742",:,"234,336","224,264","222,993","227,600","224,345","226,630","238,880","231,319","228,982","221,667","201,267","206,053","204,582","198,967","198,161","195,375","205,656","215,750","218,767","235,056","243,076","251,659","256,882","254,697","255,953","264,845","293,823","290,685","290,568","293,714","258,618","262,722","268,497","270,333","284,706","284,139","280,143","273,831","259,798","262,208","268,563","271,300","303,118","315,430","334,992","350,067","361,311","364,470","375,121","383,150","383,763","401,315","393,931","394,636"
E08000012,Liverpool,E01006520,Liverpool 043A,"40,090","42,005","42,190","42,284","52,168","56,674","53,565","56,258","49,933","51,115","56,181","53,397","53,692","48,104","45,593","52,616","56,186","56,578","58,009","52,734","51,569","52,969","62,072","75,225","80,182","88,705","87,963","98,177","93,676","91,738","95,135","89,649","98,581","127,040","130,446","141,909","158,328","146,679","154,935","168,792","177,971","183,105","190,351","173,069","158,879","151,024","160,137","160,093","168,441","192,176","187,457","204,210","224,000","188,682","190,234","194,710","178,245","183,095","187,909","182,864","169,000","179,300","161,889","148,207","151,658","111,619","106,707","122,428","126,749","135,450","136,577","154,235","155,770","148,021","152,477","136,336","122,884","121,889","115,475","124,363","123,497","111,817","109,854","107,852","111,416","130,485","124,065","134,781","142,129","139,552","144,743","136,419","122,719","132,538","131,175","137,419","154,576","153,529","168,024","162,716","166,955","170,313","178,690","188,613","179,984","179,474","171,967","158,530","155,285"
E08000012,Liverpool,E01006521,Liverpool 052A,"84,274","82,755","87,991","80,729","76,754","73,708","73,019","87,638","88,705","91,726","94,196","91,730","96,650","90,418","101,853","124,506","124,148","131,521","126,981","103,785","115,176","120,964","130,286","126,867","120,236","123,676","119,623","139,832","152,813","158,778","156,228","161,802","160,269","154,483","165,146","184,747","195,882","198,775","202,929","194,853","211,279","235,344","235,742","242,973","231,669","236,946","230,594","213,397","229,032","224,650","230,485","229,590","221,844","189,462","178,715","180,033","176,659","188,209","191,045","196,685","211,788","220,152","242,579","228,950","204,006","203,538","173,624","185,460","171,727","163,421","162,321","190,418","196,038","209,170","223,944","194,009","193,448","186,827","175,360","176,902","196,791","197,913","210,582","232,208","217,985","231,913","232,767","211,638","201,331","209,589","215,527","225,448","238,270","231,500","221,554","231,074","227,000","247,004","255,386","271,506","275,386","263,596","281,270","253,828","267,672","278,665","272,003","333,022","311,737"
E08000012,Liverpool,E01006522,Liverpool 048A,"41,594","47,156","42,105","40,847","39,136","38,861","44,600","62,557","63,922","63,179","62,372","52,676","55,970","57,596","58,512","60,246","56,954","56,197","54,952","52,617","55,854","63,443","67,548","74,257","76,641","75,123","84,455","82,209","94,592","102,556","109,865","124,111","128,570","145,116","156,133","171,406","197,086","178,117","163,274","157,368","144,953","141,095","165,312","179,940","191,020","200,259","172,276","165,910","166,641","189,916","197,934","198,406","209,172","145,700","151,627","146,250","136,240","133,257","129,684","133,443","124,620","132,343","133,050","145,174","143,638","135,070","146,203","121,268","114,773","119,873","116,053","151,909","154,937","172,476","168,121","148,435","142,678","139,040","134,768","133,083","153,231","162,769","172,074","172,630","139,009","132,182","128,885","139,069","152,103","148,997","149,454","164,743","163,360","165,716","176,034","169,755","163,374","174,700","167,741","161,138","168,073","149,138","164,660","169,346","177,418","191,770","182,404","185,900","183,162"
E08000012,Liverpool,E01006523,Liverpool 052B,"38,535","42,842","44,899","44,864","43,508","39,660","41,258","47,600","47,510","48,210","46,080","47,004","49,058","49,550","60,291","57,320","55,400","61,816","62,280","68,251","69,995","75,766","78,490","76,373","76,052","74,841","80,029","84,329","98,597","109,940","119,647","142,575","158,363","161,924","165,535","164,653","144,229","151,782","180,362","171,244","182,867","180,179","169,724","178,138","171,342","180,245","180,520","192,553","198,113","193,602","187,271","169,938","134,687","153,617","159,028","169,784","156,627","148,444","149,583","146,682","160,841","166,175","164,273","180,944","172,821","167,813","177,458","163,833","164,929","186,962","197,893","196,688","204,809","201,047","184,216","189,431","192,367","184,683","186,695","184,255","184,076","185,887","199,498","211,386","201,445","207,136","211,904","206,791","217,777","228,572","217,368","217,607","206,100","193,821","193,019","196,654","195,525","207,350","200,000","208,765","232,046","238,831","238,120","235,748","224,114","212,815","228,273","233,150","236,998"
