2021 super output area - lower layer,Very good health,Good health,Fair health,Bad health,Very bad health,
E01006651 : Liverpool 001A,56.0,29.1,9.9,3.7,1.4,
E01006653 : Liverpool 001B,46.8,28.6,15.6,6.2,2.8,
E01006655 : Liverpool 001C,50.3,28.7,13.3,5.9,1.9,
E01006658 : Liverpool 001D,40.7,32.2,14.4,9.6,3.1,
E01006660 : Liverpool 001E,42.5,29.1,16.9,8.2,3.3,
E01006652 : Liverpool 002A,46.9,31.7,14.0,5.8,1.7,
E01006656 : Liverpool 002B,45.1,31.5,15.0,6.7,1.7,
E01006657 : Liverpool 002C,42.4,31.1,16.7,7.3,2.5,
E01006780 : Liverpool 002D,49.7,30.5,13.5,5.0,1.3,
E01006783 : Liverpool 002E,44.6,33.7,14.9,5.5,1.3,
E01006781 : Liverpool 003A,47.0,33.0,12.4,5.5,2.1,
E01006782 : Liverpool 003B,48.3,31.7,14.4,4.5,1.2,
E01006784 : Liverpool 003C,47.8,29.3,16.0,5.0,1.8,
E01006785 : Liverpool 003D,44.8,33.7,13.2,6.1,2.3,
E01006786 : Liverpool 003E,45.6,31.6,15.6,5.2,2.0,
E01006661 : Liverpool 004A,44.3,27.2,16.2,8.8,3.6,
E01006662 : Liverpool 004B,37.1,27.8,17.9,12.9,4.4,
E01006663 : Liverpool 004C,46.7,29.3,14.3,8.0,1.6,
E01006664 : Liverpool 004D,46.3,28.9,14.7,7.7,2.5,
E01006669 : Liverpool 004E,53.0,31.4,10.2,4.2,1.2,
E01006654 : Liverpool 005A,44.1,33.2,15.4,5.3,2.0,
E01006659 : Liverpool 005B,35.3,32.4,20.5,8.8,3.0,
E01006734 : Liverpool 005C,45.3,29.7,15.5,7.0,2.5,
E01006735 : Liverpool 005D,43.8,28.9,14.7,9.3,3.3,
E01006736 : Liverpool 005E,45.0,28.3,16.3,7.6,2.7,
E01006737 : Liverpool 005F,40.7,30.4,16.4,10.3,2.2,
E01006787 : Liverpool 006A,46.9,30.5,15.0,5.0,2.6,
E01006788 : Liverpool 006B,49.0,31.6,13.6,4.6,1.1,
E01006790 : Liverpool 006C,43.7,29.1,15.5,8.5,3.1,
E01006791 : Liverpool 006D,39.5,31.7,17.1,8.1,3.7,
E01006665 : Liverpool 007A,47.6,34.0,12.9,4.1,1.4,
E01006666 : Liverpool 007B,52.7,31.9,11.2,3.5,0.7,
E01006667 : Liverpool 007C,43.1,29.5,15.3,9.4,2.6,
E01006668 : Liverpool 007D,52.9,32.3,10.3,3.5,0.9,
E01006670 : Liverpool 007E,51.3,30.0,12.8,4.3,1.6,
E01006607 : Liverpool 008A,43.6,30.9,15.3,8.2,1.9,
E01006612 : Liverpool 008B,40.4,30.1,15.8,10.6,3.1,
E01006729 : Liverpool 008C,45.2,29.1,14.4,8.7,2.6,
E01032510 : Liverpool 008F,52.3,29.2,11.5,4.8,2.2,
E01032511 : Liverpool 008G,44.6,29.1,16.3,7.2,2.8,
E01006608 : Liverpool 009A,43.4,31.5,15.9,7.1,2.0,
E01006609 : Liverpool 009B,47.6,30.8,14.5,5.2,1.9,
E01006610 : Liverpool 009C,41.5,30.1,17.4,7.7,3.4,
E01006613 : Liverpool 009D,41.2,29.7,16.9,9.4,2.8,
E01006705 : Liverpool 009E,45.4,31.6,13.6,6.4,3.1,
E01006598 : Liverpool 010A,47.8,29.0,13.8,7.1,2.3,
E01006599 : Liverpool 010B,53.3,28.6,12.5,4.0,1.6,
E01006672 : Liverpool 010E,45.1,31.7,13.6,8.3,1.3,
